content,score,,,,,,
Ok,5,,,,,,
untuk upload story video/foto sangat jelek pecah,3,,,,,,
Swasta Ofision,5,,,,,,
Cobak duluk bagus apa ndk,5,,,,,,
Bagus,5,,,,,,
"terdapat bug ketika menelpon, keterangan user padahal on, tapi notif call masuk terdapat delay, itu sangat menyebalkan,mohon untuk diperbaiki.",1,,,,,,
Aplikaso anjinh membuat kerugian besar tidak tahu kenapa malah terbelokir dengan seenak bool nya pulihakn akun saya secepat mungkin binatang... setan kau yah membuat aku rugi besar dalam masalah ini,1,,,,,,
Apasih setelah di update story orang jadi gak beraturan banget yg terbaru jadi entah dmna,4,,,,,,
Mantap,5,,,,,,
Ok,5,,,,,,
"saya tdk suka updatetan yg terbaru fiturnya semakin tdk menguntungkan tlpon atau vc nya kurang memuaskan ,aku lebih suka wa versi lama di banding yg dekarang🥴",2,,,,,,
baik,5,,,,,,
0o,5,,,,,,
Halo team Whatsap Tolong munculkan firtur like di status saya saya sudah update ke versi terbaru trimakasih,2,,,,,,
bagus membantu,4,,,,,,
Saya suka sama aplikasi ini,5,,,,,,
Whatapp sangat membantu dlm mendapatkan informasi,3,,,,,,
"Gak jelas banget pembaruan status orang lain gak enak bgt horizontal gini, pake ada saluran saluran segala, dimana whatsapp itu chat pribadi. sangat aneh",1,,,,,,
mislan semenjak teman saya Makai hp saya semua berubah semua kode pin dana berubah tolang saya di bantuk biar aman di hp saya,5,,,,,,
Bagusss,5,,,,,,
kasih bintang 5 bukan karna mangkin bagus tpi WhatsApp skarang aneh saat menelfon seseorang malah memanggil pdahal tidak sedang di panggilan lain tolong lah di perbaiki agar kita tau seseorang sedang telponan atau tidak agar ada notif *berada di panggilan lain,5,,,,,,
maaf jangan lagi ada spam ke wa kami,4,,,,,,
Nice,5,,,,,,
Mantap,5,,,,,,
Bagus,5,,,,,,
baik versi baru nya belum bisa,5,,,,,,
"Whatsaap harusnya udah support fhd kalo yg utk android. Masa hasil kamera bagus2 di upload status wa,,hasilnya buruk.lol bet..",5,,,,,,
Nak mqsuk call group tkleh dia kata data slow padahal 5G kot,5,,,,,,
Sangat puas,5,,,,,,
bagus,5,,,,,,
"Kenapa di hp saya wa nya belum update yg kayak yg lain, yg bisa ngelike story sedangkan di saya belum ada fitur ini, tolong di perbaiki, kenapa milih2 hp, udh berkali kali saya update dan uninstal dan masi tetap sama gk ada perubahan",1,,,,,,
ok,5,,,,,,
",👍",5,,,,,,
Ok,5,,,,,,
